 2ADC A,A 8F@1
 2ADC A,B 88@1
 2ADC A,C 89@1
 2ADC A,D 8A@1
 2ADC A,E 8B@1
 2ADC A,H 8C@1
 2ADC A,L 8D@1
 2ADC A,(HL) 8E@1
 2ADC HL,BC ED4A@2
 2ADC HL,DE ED5A@2
 2ADC HL,HL ED6A@2
 2ADC HL,SP ED7A@2
 2ADC A,1 CE#1@2
 2ADC A,2(IX+ DD8E#1@3
 2ADC A,2(IY+ FD8E#1@3
 Z
 2ADD A,A 87@1
 2ADD A,B 80@1
 2ADD A,C 81@1
 2ADD A,D 82@1
 2ADD A,E 83@1
 2ADD A,H 84@1
 2ADD A,L 85@1
 2ADD A,(HL) 86@1
 2ADD HL,BC 09@1
 2ADD HL,DE 19@1
 2ADD HL,HL 29@1
 2ADD HL,SP 39@1
 2ADD IX,BC DD09@2
 2ADD IX,DE DD19@2
 2ADD IX,HL DD29@2
 2ADD IX,SP DD39@2
 2ADD IY,BC FD09@2
 2ADD IY,DE FD19@2
 2ADD IY,HL FD29@2
 2ADD IY,SP FD39@2
 2ADD A,1 C6#1@2
 2ADD A,2(IX+ DD86#1@3
 2ADD A,2(IY+ FD86#1@3
 Z
 1AND A A7@1
 1AND B A0@1
 1AND C A1@1
 1AND D A2@1
 1AND E A3@1
 1AND H A4@1
 1AND L A5@1
 1AND (HL) A6@1
 1AND 1 E6#1@2
 1AND 2(IX+ DDA6#1@3
 1AND 2(IY+ FDA6#1@3
 Z
 2BIT 7,A CB7F@2
 2BIT 7,B CB78@2
 2BIT 7,C CB79@2
 2BIT 7,D CB7A@2
 2BIT 7,E CB7B@2
 2BIT 7,H CB7C@2
 2BIT 7,L CB7D@2
 2BIT 6,A CB77@2
 2BIT 6,B CB70@2
 2BIT 6,C CB71@2
 2BIT 6,D CB72@2
 2BIT 6,E CB73@2
 2BIT 6,H CB74@2
 2BIT 6,L CB75@2
 2BIT 5,A CB6F@2
 2BIT 5,B CB68@2
 2BIT 5,C CB69@2
 2BIT 5,D CB6A@2
 2BIT 5,E CB6B@2
 2BIT 5,H CB6C@2
 2BIT 5,L CB6D@2
 2BIT 4,A CB67@2
 2BIT 4,B CB60@2
 2BIT 4,C CB61@2
 2BIT 4,D CB62@2
 2BIT 4,E CB63@2
 2BIT 4,H CB64@2
 2BIT 4,L CB65@2
 2BIT 3,A CB5F@2
 2BIT 3,B CB58@2
 2BIT 3,C CB59@2
 2BIT 3,D CB5A@2
 2BIT 3,E CB5B@2
 2BIT 3,H CB5C@2
 2BIT 3,L CB5D@2
 2BIT 2,A CB57@2
 2BIT 2,B CB50@2
 2BIT 2,C CB51@2
 2BIT 2,D CB52@2
 2BIT 2,E CB53@2
 2BIT 2,H CB54@2
 2BIT 2,L CB55@2
 2BIT 1,A CB4F@2
 2BIT 1,B CB48@2
 2BIT 1,C CB49@2
 2BIT 1,D CB4A@2
 2BIT 1,E CB4B@2
 2BIT 1,H CB4C@2
 2BIT 1,L CB4D@2
 2BIT 0,A CB47@2
 2BIT 0,B CB40@2
 2BIT 0,C CB41@2
 2BIT 0,D CB42@2
 2BIT 0,E CB43@2
 2BIT 0,H CB44@2
 2BIT 0,L CB45@2
 2BIT 7,(HL) CB7E@2
 2BIT 6,(HL) CB76@2
 2BIT 5,(HL) CB6E@2
 2BIT 4,(HL) CB66@2
 2BIT 3,(HL) CB5E@2
 2BIT 2,(HL) CB56@2
 2BIT 1,(HL) CB4E@2
 2BIT 0,(HL) CB46@2
 2BIT 7,2(IX+ DDCB#17E@4
 2BIT 6,2(IX+ DDCB#176@4
 2BIT 5,2(IX+ DDCB#16E@4
 2BIT 4,2(IX+ DDCB#166@4
 2BIT 3,2(IX+ DDCB#15E@4
 2BIT 2,2(IX+ DDCB#156@4
 2BIT 1,2(IX+ DDCB#14E@4
 2BIT 0,2(IX+ DDCB#146@4
 2BIT 7,2(IY+ FDCB#17E@4
 2BIT 6,2(IY+ FDCB#176@4
 2BIT 5,2(IY+ FDCB#16E@4
 2BIT 4,2(IY+ FDCB#166@4
 2BIT 3,2(IY+ FDCB#15E@4
 2BIT 2,2(IY+ FDCB#156@4
 2BIT 1,2(IY+ FDCB#14E@4
 2BIT 0,2(IY+ FDCB#146@4
 Z
 4CALL 3, CD#2@3
 4CALL NZ,3 C4#2@3
 4CALL Z,3 CC#2@3
 4CALL NC,3 D4#2@3
 4CALL C,3 DC#2@3
 4CALL PO,3 E4#2@3
 4CALL PE,3 EC#2@3
 4CALL P,3 F4#2@3
 4CALL M,3 FC#2@3
 Z
 0CCF 3F@1
 Z
 1CP A BF@1
 1CP B B8@1
 1CP C B9@1
 1CP D BA@1
 1CP E BB@1
 1CP H BC@1
 1CP L BD@1
 1CP (HL) BE@1
 1CP 1 FE#1@2
